account_number,prop_state,prop_zip,unpaid_balance,interest_rate,loan_type,origination_date,ltv,unique_id,prepayment_score,refinance_score,purchase_score,heloc_score,borrower_persona,new_product_description_refi,new_pi_savings_mo_refi,new_cashout_refi,new_product_description_co,new_pi_savings_mo_co,new_cashout_co,new_product_description_pf,new_pi_savings_mo_pf,new_cashout_pf,new_product_description_pc,new_pi_savings_mo_pc,new_cashout_pc
1431978764,FL,33157,200000,3,C,3/11/2013,60,19,900,100,600,200,Upgrader,30 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,100,50000,30 YR FIXED FHA,-1,150000,30 YR FIXED CONFORMING,-1,150000
1431980919,FL,33176,200000,2,C,3/20/2013,20,20,600,900,200,200,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,200000,30 YR FIXED FHA,500,150000,30 YR FIXED CONFORMING,500,150000
1431983020,MD,20721,150000,4,C,3/20/2013,60,21,700,0,500,400,Downsizer,30 YR FIXED CONFORMING,50,-1,,,,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1431995743,FL,32162,50000,2,C,4/15/2013,20,22,600,400,300,300,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,350,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1431996253,FL,33913,100000,3,F,4/15/2013,20,23,400,900,800,600,Conservative,30 YR FIXED CONFORMING,100,-1,30 YR FIXED CONFORMING,-1,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432004123,NV,89148,50000,3,C,4/29/2013,40,24,400,0,900,200,Investor,20 YR FIXED CONFORMING,250,-1,30 YR FIXED CONFORMING,200,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432013447,MO,64015,100000,3,C,5/15/2013,60,25,400,300,400,600,Conservative,30 YR FIXED CONFORMING,150,-1,30 YR FIXED CONFORMING,100,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432016127,NJ,7430,400000,3,C,5/28/2013,40,26,100,200,800,200,Conservative,30 YR FIXED CONFORMING,-1,-1,30 YR FIXED CONFORMING,-1,200000,30 YR FIXED FHA,-1,-1,30 YR FIXED CONFORMING,200,-1
1432023982,CA,90043,300000,3,C,5/30/2013,40,27,300,0,500,0,Investor,20 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,200,150000,30 YR FIXED FHA,150,50000,30 YR FIXED CONFORMING,500,50000
1432024915,NM,88130,0,4,C,5/31/2013,40,28,500,300,0,700,Refinancer,30 YR FIXED CONFORMING,0,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432031902,TX,77401,150000,2,C,6/17/2013,20,29,500,900,200,500,Investor,15 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,500,200000,30 YR FIXED CONFORMING,500,200000
1432038931,IA,51012,50000,3,C,7/1/2013,60,30,100,900,900,200,Conservative,30 YR FIXED CONFORMING,0,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432040903,LA,71038,200000,3,F,7/1/2013,60,31,900,600,200,400,Downsizer,,,,,,,30 YR FIXED FHA,-1,150000,30 YR FIXED CONFORMING,-1,150000
1432044962,MD,20744,300000,3,C,7/22/2013,40,32,700,900,500,800,Upgrader,30 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,-1,150000,30 YR FIXED FHA,-1,50000,30 YR FIXED CONFORMING,200,50000
1432048948,GA,30223,0,4,C,7/29/2013,20,33,600,300,500,700,Refinancer,15 YR FIXED CONFORMING,150,-1,30 YR FIXED CONFORMING,100,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432051629,FL,33710,50000,2,F,8/8/2013,40,34,200,200,200,200,Refinancer,15 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,200,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432053211,TX,77530,0,4,C,8/12/2013,40,35,100,200,800,100,Downsizer,15 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,200,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432058608,KY,40601,150000,4,C,9/6/2013,60,36,0,700,800,0,Conservative,30 YR FIXED CONFORMING,250,-1,30 YR FIXED CONFORMING,100,0,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1432063715,WY,82401,50000,3,C,10/21/2013,40,37,800,400,600,900,Conservative,15 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,300,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1432067419,FL,32832,250000,4,C,11/1/2013,100,38,500,800,800,300,Downsizer,,,,,,,30 YR FIXED FHA,-1,100000,30 YR FIXED CONFORMING,0,100000
1432072260,TX,78254,200000,4,C,12/20/2013,80,39,300,900,100,300,Conservative,30 YR FIXED FHA,-1,-1,,,,30 YR FIXED FHA,-1,150000,30 YR FIXED CONFORMING,-1,150000
1432076345,NM,87114,100000,4,C,2/24/2014,80,40,300,900,800,100,Conservative,30 YR FIXED FHA,-1,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007365,CA,95650,100000,3,C,4/27/2016,20,41,300,0,500,200,Investor,20 YR FIXED CONFORMING,400,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007415,CA,91710,250000,3,C,4/29/2016,40,42,0,200,900,300,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,200000,30 YR FIXED FHA,500,100000,30 YR FIXED CONFORMING,500,100000
1440007431,CO,80498,0,2,C,4/29/2016,0,43,200,300,500,100,Investor,,,,30 YR FIXED CONFORMING,450,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007449,CT,6850,0,2,C,4/29/2016,0,44,900,800,200,300,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007555,OR,97367,150000,2,C,4/22/2016,40,45,100,900,600,0,Downsizer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1440007571,UT,84043,100000,2,C,4/26/2016,40,46,800,900,600,200,Downsizer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,350,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007589,MI,48036,100000,2,C,4/29/2016,40,47,900,700,600,0,Refinancer,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,500,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007605,TX,77407,50000,3,C,4/27/2016,20,48,100,400,800,200,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,450,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007621,MT,59901,50000,3,C,4/25/2016,20,49,900,0,900,500,Investor,15 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,-1,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007647,GA,30309,0,3,C,4/27/2016,0,50,500,800,400,0,Upgrader,10 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,300,200000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007670,NJ,8087,150000,3,C,4/27/2016,20,51,600,800,600,500,Downsizer,20 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1440007746,AL,35565,100000,3,C,4/29/2016,40,52,300,400,900,100,Refinancer,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,500,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007753,MT,59718,100000,3,C,4/29/2016,40,53,400,600,600,900,Downsizer,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,400,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007761,MT,59718,100000,3,C,4/29/2016,40,54,200,600,600,900,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,400,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440007803,IN,47060,100000,3,C,4/28/2016,40,55,300,500,400,100,Conservative,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,200,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008017,SC,29006,50000,3,C,4/27/2016,60,56,500,200,700,600,Downsizer,20 YR FIXED CONFORMING,150,-1,30 YR FIXED CONFORMING,200,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008041,OR,97060,0,3,C,5/3/2016,0,57,700,900,400,900,Upgrader,20 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,-1,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008058,GA,30096,50000,3,C,4/29/2016,40,58,0,400,400,900,Refinancer,20 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,300,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008090,CA,93023,350000,4,C,4/29/2016,40,59,800,400,600,100,Upgrader,30 YR FIXED CONFORMING,350,-1,,,,30 YR FIXED FHA,-1,0,30 YR FIXED CONFORMING,250,0
1440008256,UT,84123,50000,2,C,5/4/2016,20,60,300,800,500,800,Investor,15 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,0,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008264,GA,30040,100000,3,C,4/29/2016,40,61,100,200,200,200,Refinancer,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,350,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008306,OH,45133,0,4,C,4/14/2016,20,62,800,100,700,800,Upgrader,15 YR FIXED CONFORMING,150,-1,30 YR FIXED CONFORMING,100,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008330,VA,22066,200000,2,C,5/2/2016,20,63,900,0,700,100,Upgrader,15 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,500,150000,30 YR FIXED CONFORMING,500,150000
1440008355,TX,78732,150000,2,C,5/2/2016,20,64,500,300,900,300,Downsizer,15 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,500,200000,30 YR FIXED CONFORMING,500,200000
1440008389,AL,35244,50000,3,C,5/3/2016,20,65,500,900,600,300,Refinancer,20 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,-1,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008397,FL,33525,100000,3,C,4/29/2016,40,66,600,900,900,500,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008405,NJ,8096,50000,2,C,5/3/2016,20,67,400,100,900,0,Investor,15 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,250,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008462,FL,33196,100000,3,C,4/29/2016,40,68,100,700,400,400,Investor,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,350,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008470,FL,33594,100000,2,C,4/29/2016,40,69,200,800,0,100,Downsizer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,400,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008520,TN,38351,100000,3,C,5/4/2016,40,70,400,800,400,800,Investor,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,450,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008546,OH,43551,150000,2,C,5/4/2016,40,71,500,600,300,400,Conservative,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1440008553,CA,92108,100000,3,C,4/29/2016,20,72,300,100,800,900,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,350,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008561,VA,23235,300000,2,C,5/4/2016,40,73,0,100,0,300,Refinancer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,200000,30 YR FIXED FHA,500,50000,30 YR FIXED CONFORMING,500,50000
1440008587,PA,19440,50000,2,C,5/4/2016,20,74,300,300,500,400,Investor,15 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,50,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008611,VT,5355,50000,3,C,4/29/2016,40,75,500,200,300,300,Refinancer,20 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,350,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008637,NJ,7676,50000,3,C,5/2/2016,0,76,300,800,600,800,Upgrader,20 YR FIXED CONFORMING,300,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008686,MS,39110,200000,2,C,5/2/2016,20,77,700,700,300,0,Refinancer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,250,200000,30 YR FIXED FHA,150,150000,30 YR FIXED CONFORMING,450,150000
1440008694,TX,76020,150000,2,C,4/28/2016,40,78,900,700,900,0,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,450,150000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,200,200000
1440008710,OK,74075,50000,2,C,5/4/2016,60,79,700,200,0,400,Refinancer,20 YR FIXED CONFORMING,300,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008736,MI,48346,50000,3,C,5/5/2016,20,80,0,0,800,600,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,300,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008793,NC,28027,100000,3,C,5/3/2016,40,81,100,800,900,400,Refinancer,20 YR FIXED CONFORMING,450,-1,30 YR FIXED CONFORMING,450,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440008827,NJ,8318,50000,3,C,5/6/2016,20,82,800,100,500,600,Conservative,20 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,50,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009007,FL,33332,200000,2,C,5/9/2016,40,83,100,400,800,200,Investor,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,450,150000,30 YR FIXED FHA,0,150000,30 YR FIXED CONFORMING,300,150000
1440009015,PA,17363,100000,3,C,5/9/2016,40,84,200,0,600,200,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,450,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009031,FL,32225,150000,2,C,5/9/2016,40,85,200,400,700,700,Investor,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1440009049,MA,1821,100000,3,C,5/9/2016,20,86,500,0,100,900,Refinancer,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,200,250000
1440009098,CA,95682,0,3,C,5/9/2016,0,87,800,600,500,800,Refinancer,10 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,500,250000,30 YR FIXED CONFORMING,500,250000
1440009122,CA,91367,50000,3,C,5/9/2016,20,88,700,300,500,800,Conservative,30 YR FIXED CONFORMING,50,-1,30 YR FIXED CONFORMING,-1,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009130,TX,79720,50000,3,C,5/9/2016,20,89,600,500,800,700,Conservative,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,250,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009163,OH,45239,100000,3,C,5/9/2016,0,90,900,0,0,900,Investor,20 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009171,SC,29588,50000,4,C,5/9/2016,40,91,100,700,100,0,Downsizer,30 YR FIXED CONFORMING,100,-1,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009189,CA,92504,100000,3,C,5/10/2016,40,92,200,300,500,300,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,300,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009254,MI,49097,0,3,C,5/5/2016,0,93,900,200,400,200,Upgrader,15 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,0,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009262,TX,75287,100000,3,C,5/10/2016,60,94,300,900,200,400,Upgrader,,,,30 YR FIXED CONFORMING,-1,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009270,WV,26651,50000,2,C,5/10/2016,40,95,900,0,0,500,Investor,20 YR FIXED CONFORMING,250,-1,30 YR FIXED CONFORMING,250,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009338,NM,87144,50000,3,C,5/11/2016,20,96,300,700,0,500,Conservative,20 YR FIXED CONFORMING,250,-1,30 YR FIXED CONFORMING,-1,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009379,NV,89128,50000,2,C,5/10/2016,20,97,900,200,500,0,Refinancer,20 YR FIXED CONFORMING,200,-1,30 YR FIXED CONFORMING,-1,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009445,FL,32258,200000,2,C,5/6/2016,40,98,900,0,700,300,Upgrader,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,100,150000,30 YR FIXED CONFORMING,400,150000
1440009536,GA,30043,50000,3,C,5/13/2016,40,99,900,400,700,800,Upgrader,20 YR FIXED CONFORMING,350,-1,30 YR FIXED CONFORMING,300,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009569,IL,60101,100000,4,C,4/12/2016,60,100,0,700,600,900,Refinancer,30 YR FIXED CONFORMING,150,-1,,,,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009965,AZ,85213,50000,3,C,5/13/2016,40,101,900,600,700,300,Refinancer,20 YR FIXED CONFORMING,400,-1,30 YR FIXED CONFORMING,400,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440009999,GA,30680,150000,3,C,5/18/2016,80,102,500,700,0,400,Conservative,30 YR FIXED FHA,100,-1,,,,30 YR FIXED FHA,-1,200000,30 YR FIXED CONFORMING,-1,200000
1440010021,SC,29445,50000,4,C,5/16/2016,40,103,600,700,800,300,Downsizer,20 YR FIXED CONFORMING,100,-1,30 YR FIXED CONFORMING,0,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010146,CT,6712,0,3,C,5/16/2016,0,104,800,800,700,200,Investor,10 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,300,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010153,MO,63051,100000,2,C,5/18/2016,40,105,600,800,800,0,Investor,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,250,250000
1440010179,NC,28056,50000,3,C,5/12/2016,40,106,400,800,700,500,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010195,TX,75402,100000,2,C,5/9/2016,20,107,600,800,700,300,Upgrader,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,150000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,250,250000
1440010229,TX,75061,50000,3,C,5/11/2016,40,108,900,400,100,900,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010237,AZ,85648,50000,3,C,5/6/2016,20,109,800,500,100,700,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,450,100000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010252,PA,17402,50000,3,C,5/9/2016,40,110,700,300,0,0,Investor,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010286,GA,30004,0,2,C,5/17/2016,0,111,800,400,500,300,Conservative,10 YR FIXED CONFORMING,500,-1,,,,30 YR FIXED FHA,250,250000,30 YR FIXED CONFORMING,500,250000
1440010302,WI,53714,0,3,C,5/18/2016,0,112,600,700,800,600,Conservative,10 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,200000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,200,250000
1440010310,AL,36695,200000,2,C,5/13/2016,40,113,700,500,0,100,Conservative,15 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,150000,30 YR FIXED FHA,500,150000,30 YR FIXED CONFORMING,500,150000
1440010393,AZ,85212,50000,3,C,5/16/2016,20,114,100,700,400,0,Investor,20 YR FIXED CONFORMING,300,-1,30 YR FIXED CONFORMING,100,50000,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
1440010401,MO,63303,100000,3,C,5/18/2016,60,115,800,100,300,800,Conservative,20 YR FIXED CONFORMING,500,-1,30 YR FIXED CONFORMING,500,0,30 YR FIXED FHA,-1,250000,30 YR FIXED CONFORMING,-1,250000
